Account ID,Transaction Date,Transaction Type,Category,Amount,Description
ZEPO3504,6/11/2024 11:29,Transfer,Dining,37.35,Transfer to Sarah for dinner outing
OAJX8472,20/11/2024 18:28,Withdraw,ATM Cash Withdraw,160,ATM Cash Withdraw at Bankstown branch
ZEPO3504,21/11/2024 10:15,Payment,Utilities,9723.06,Water bill settlement
YRMX9241,6/11/2024 21:32,Withdraw,ATM Cash Withdraw,20,ATM Cash Withdraw at Penrith branch
LVGF8990,6/11/2024 08:42,Transfer,Transportation,51.97,Transfer to Jamie for taxi fare
QXMH1436,5/11/2024 20:18,Withdraw,ATM Cash Withdraw,20,ATM Cash Withdraw at Surry Hills branch
PHZB4600,13/11/2024 13:03,Withdraw,ATM Cash Withdraw,10,ATM Cash Withdraw at Bankstown branch
FRQA5486,28/11/2024 23:01,Transfer,Dining,98.11,Transfer to Sarah for dinner outing
NHAD9393,13/11/2024 20:55,Transfer,Groceries,109.73,Transfer to Alex for supermarket bill
XEXV5098,6/11/2024 12:13,Deposit,Income,8578.32,Working income
ZEPO3504,28/11/2024 23:35,Payment,Utilities,1014.39,Water bill settlement
NHAD9393,13/11/2024 19:41,Transfer,Dining,105.41,Transfer to Sarah for dinner outing
RXWT2473,12/11/2024 23:15,Payment,Groceries,207.71,Supermarket purchase
IOPL3764,13/11/2024 21:17,Withdraw,ATM Cash Withdraw,120,ATM Cash Withdraw at Bankstown branch
XEXV5098,13/11/2024 20:56,Transfer,Utilities,9172.5,Transfer to John for electricity bill
FZLH2672,7/11/2024 22:09,Transfer,Transportation,41.74,Transfer to Jamie for taxi fare
LVGF8990,13/11/2024 15:11,Transfer,Dining,69.82,Transfer to Sarah for dinner outing
XEXV5098,10/11/2024 21:42,Withdraw,ATM Cash Withdraw,80,ATM Cash Withdraw at Manly branch
QXMH1436,1/11/2024 20:57,Transfer,Groceries,102.97,Transfer to Alex for supermarket bill
SCRE4918,26/11/2024 21:00,Withdraw,ATM Cash Withdraw,110,ATM Cash Withdraw at Chatswood branch
FRQA5486,12/11/2024 10:15,Deposit,Income,8069.04,Working income
QXMH1436,22/11/2024 10:54,Deposit,Income,9196.03,Working income
QXMH1436,6/11/2024 08:46,Transfer,Transportation,5,Transfer to Jamie for taxi fare
NHAD9393,3/11/2024 20:39,Withdraw,ATM Cash Withdraw,200,ATM Cash Withdraw at Randwick branch
OAJX8472,13/11/2024 19:14,Withdraw,ATM Cash Withdraw,10,ATM Cash Withdraw at Blacktown branch
SCRE4918,2/11/2024 15:08,Withdraw,ATM Cash Withdraw,60,ATM Cash Withdraw at Castle Hill branch
XEXV5098,18/11/2024 22:44,Withdraw,ATM Cash Withdraw,5370,ATM Cash Withdraw at Manly branch
IOPL3764,11/11/2024 16:30,Transfer,Utilities,3122.83,Transfer to John for electricity bill
FRQA5486,3/11/2024 10:46,Transfer,Dining,1.33,Transfer to Sarah for dinner outing
ZEPO3504,8/11/2024 16:44,Payment,Utilities,3661.72,Water bill settlement
SCRE4918,28/11/2024 16:19,Deposit,Income,8412.28,Working income
FZLH2672,18/11/2024 20:41,Transfer,Dining,145.34,Transfer to Sarah for dinner outing
TKRR6271,5/11/2024 14:10,Payment,Transportation,16.81,Taxi fare
CQSK8862,7/11/2024 23:25,Deposit,Income,8881.95,Working income
FZLH2672,13/11/2024 09:28,Withdraw,ATM Cash Withdraw,250,ATM Cash Withdraw at Newtown branch
FRQA5486,23/11/2024 17:13,Transfer,Dining,19.04,Transfer to Sarah for dinner outing
XEXV5098,22/11/2024 18:59,Withdraw,ATM Cash Withdraw,330,ATM Cash Withdraw at Penrith branch
IOPL3764,26/11/2024 18:10,Withdraw,ATM Cash Withdraw,9540,ATM Cash Withdraw at Castle Hill branch
FRQA5486,14/11/2024 08:24,Payment,Transportation,93.48,Taxi fare
SCRE4918,23/11/2024 10:08,Payment,Utilities,4272.21,Electricity bill payment
TKRR6271,18/11/2024 21:55,Withdraw,ATM Cash Withdraw,230,ATM Cash Withdraw at Newtown branch
LVGF8990,11/11/2024 21:17,Transfer,Entertainment,263.68,Transfer to Chris for concert ticket
QXMH1436,9/11/2024 22:23,Transfer,Transportation,29.44,Transfer to Jamie for taxi fare
CQSK8862,12/11/2024 13:34,Payment,Entertainment,330.95,Movie tickets
YRMX9241,5/11/2024 23:56,Payment,Entertainment,275.61,Movie tickets
IOPL3764,17/11/2024 21:24,Withdraw,ATM Cash Withdraw,60,ATM Cash Withdraw at Bankstown branch
QXMH1436,16/11/2024 20:35,Transfer,Entertainment,303.19,Transfer to Chris for concert ticket
NHAD9393,22/11/2024 23:28,Withdraw,ATM Cash Withdraw,340,ATM Cash Withdraw at Liverpool branch
IOPL3764,10/11/2024 22:21,Payment,Dining,107.89,Japanese dinner
CQSK8862,7/11/2024 20:49,Withdraw,ATM Cash Withdraw,7160,ATM Cash Withdraw at Surry Hills branch
FZLH2672,15/11/2024 08:22,Transfer,Utilities,6177.99,Transfer to John for electricity bill
QXMH1436,15/11/2024 12:44,Transfer,Dining,130.5,Transfer to Sarah for dinner outing
ZEPO3504,8/11/2024 21:06,Payment,Entertainment,287.11,Movie tickets
CQSK8862,8/11/2024 21:26,Deposit,Income,1222.55,Investment income
FZLH2672,4/11/2024 18:42,Payment,Utilities,2669.22,Electricity bill payment
FRQA5486,24/11/2024 10:33,Transfer,Entertainment,340.54,Transfer to Chris for concert ticket
QXMH1436,12/11/2024 20:31,Payment,Entertainment,4.31,Gaming subscription
YRMX9241,24/11/2024 22:45,Payment,Utilities,7114.94,Gas utility charge
YRMX9241,5/11/2024 16:57,Transfer,Dining,126.14,Transfer to Sarah for dinner outing
ZEPO3504,4/11/2024 19:47,Transfer,Transportation,44.87,Transfer to Jamie for taxi fare
ZEPO3504,24/11/2024 13:55,Payment,Utilities,9705.1,Water bill settlement
FRQA5486,17/11/2024 09:18,Withdraw,ATM Cash Withdraw,340,ATM Cash Withdraw at Liverpool branch
FZLH2672,11/11/2024 20:19,Payment,Dining,101.8,Fast food meal
CQSK8862,24/11/2024 20:22,Payment,Utilities,4367.53,Gas utility charge
RXWT2473,20/11/2024 16:59,Transfer,Transportation,88.81,Transfer to Jamie for taxi fare
RXWT2473,12/11/2024 20:24,Transfer,Transportation,16.42,Transfer to Jamie for taxi fare
QXMH1436,16/11/2024 22:27,Transfer,Dining,73.88,Transfer to Sarah for dinner outing
PHZB4600,15/11/2024 21:18,Payment,Utilities,672.62,Water bill settlement
FZLH2672,19/11/2024 22:54,Withdraw,ATM Cash Withdraw,260,ATM Cash Withdraw at Surry Hills branch
YRMX9241,16/11/2024 19:49,Withdraw,ATM Cash Withdraw,160,ATM Cash Withdraw at Cronulla branch
FRQA5486,22/11/2024 23:32,Withdraw,ATM Cash Withdraw,9620,ATM Cash Withdraw at Bankstown branch
SCRE4918,4/11/2024 21:06,Transfer,Groceries,10.52,Transfer to Alex for supermarket bill
PHZB4600,4/11/2024 09:24,Withdraw,ATM Cash Withdraw,140,ATM Cash Withdraw at Randwick branch
CQSK8862,11/11/2024 12:20,Transfer,Dining,143.52,Transfer to Sarah for dinner outing
RXWT2473,1/11/2024 20:09,Withdraw,ATM Cash Withdraw,160,ATM Cash Withdraw at Blacktown branch
XEXV5098,16/11/2024 20:23,Payment,Transportation,61.37,Gas station refill
SCRE4918,13/11/2024 20:25,Withdraw,ATM Cash Withdraw,30,ATM Cash Withdraw at Chatswood branch
FRQA5486,4/11/2024 15:22,Payment,Transportation,41.26,Public transport fare
ZEPO3504,10/11/2024 21:41,Transfer,Dining,20.67,Transfer to Sarah for dinner outing
OAJX8472,3/11/2024 08:30,Withdraw,ATM Cash Withdraw,150,ATM Cash Withdraw at Manly branch
TKRR6271,10/11/2024 21:12,Withdraw,ATM Cash Withdraw,380,ATM Cash Withdraw at Penrith branch
ZEPO3504,9/11/2024 08:53,Deposit,Income,8128.66,Working income
CQSK8862,1/11/2024 22:13,Payment,Transportation,45.74,Public transport fare
IOPL3764,23/11/2024 17:01,Transfer,Entertainment,197.3,Transfer to Chris for concert ticket
FZLH2672,20/11/2024 22:13,Withdraw,ATM Cash Withdraw,50,ATM Cash Withdraw at Strathfield branch
FRQA5486,14/11/2024 15:28,Transfer,Entertainment,392.56,Transfer to Chris for concert ticket
YRMX9241,1/11/2024 16:05,Payment,Utilities,8850.01,Water bill settlement
XEXV5098,18/11/2024 23:34,Deposit,Income,1449.82,Investment income
CQSK8862,9/11/2024 11:16,Transfer,Dining,114.64,Transfer to Sarah for dinner outing
QXMH1436,15/11/2024 21:24,Deposit,Income,19.12,Bank interest
IOPL3764,3/11/2024 08:01,Payment,Entertainment,66.73,Movie tickets
TKRR6271,1/11/2024 17:53,Payment,Utilities,1184.32,Gas utility charge
RXWT2473,3/11/2024 22:02,Transfer,Entertainment,65.04,Transfer to Chris for concert ticket
PHZB4600,8/11/2024 15:27,Payment,Transportation,43.08,Public transport fare
SCRE4918,2/11/2024 23:34,Withdraw,ATM Cash Withdraw,190,ATM Cash Withdraw at Hornsby branch
TKRR6271,6/11/2024 20:44,Transfer,Groceries,286.98,Transfer to Alex for supermarket bill
FRQA5486,27/11/2024 12:58,Withdraw,ATM Cash Withdraw,0,ATM Cash Withdraw at Randwick branch
TKRR6271,16/11/2024 14:02,Withdraw,ATM Cash Withdraw,40,ATM Cash Withdraw at Penrith branch
ZEPO3504,17/11/2024 20:13,Payment,Dining,143.05,Japanese dinner
FZLH2672,1/11/2024 20:11,Deposit,Income,8518.83,Working income
YRMX9241,3/11/2024 16:59,Withdraw,ATM Cash Withdraw,210,ATM Cash Withdraw at Strathfield branch
RXWT2473,20/11/2024 21:40,Transfer,Entertainment,153.8,Transfer to Chris for concert ticket
TKRR6271,17/11/2024 17:58,Payment,Utilities,8050.13,Electricity bill payment
ZEPO3504,14/11/2024 22:51,Payment,Utilities,6800.57,Electricity bill payment
PHZB4600,4/11/2024 14:01,Transfer,Entertainment,296.59,Transfer to Chris for concert ticket
FRQA5486,15/11/2024 12:48,Transfer,Transportation,82.18,Transfer to Jamie for taxi fare
FZLH2672,28/11/2024 12:16,Payment,Utilities,666.7,Gas utility charge
TKRR6271,7/11/2024 21:18,Payment,Dining,144.46,Fast food meal
FZLH2672,15/11/2024 20:49,Payment,Groceries,294.23,Local market shopping
IOPL3764,25/11/2024 22:53,Withdraw,ATM Cash Withdraw,120,ATM Cash Withdraw at Cronulla branch
PHZB4600,9/11/2024 16:16,Transfer,Transportation,85.09,Transfer to Jamie for taxi fare
TKRR6271,14/11/2024 23:43,Payment,Utilities,2764.74,Water bill settlement
RXWT2473,23/11/2024 18:36,Transfer,Entertainment,358.66,Transfer to Chris for concert ticket
FZLH2672,27/11/2024 23:59,Transfer,Groceries,293.11,Transfer to Alex for supermarket bill
FRQA5486,26/11/2024 21:40,Withdraw,ATM Cash Withdraw,110,ATM Cash Withdraw at Surry Hills branch
QXMH1436,16/11/2024 16:39,Deposit,Income,8210.39,Working income
FZLH2672,17/11/2024 21:43,Withdraw,ATM Cash Withdraw,5040,ATM Cash Withdraw at Cronulla branch
OAJX8472,21/11/2024 14:53,Withdraw,ATM Cash Withdraw,7940,ATM Cash Withdraw at Chatswood branch
LVGF8990,6/11/2024 15:54,Withdraw,ATM Cash Withdraw,180,ATM Cash Withdraw at Blacktown branch
CQSK8862,27/11/2024 21:43,Withdraw,ATM Cash Withdraw,30,ATM Cash Withdraw at Hornsby branch
FRQA5486,21/11/2024 22:57,Withdraw,ATM Cash Withdraw,30,ATM Cash Withdraw at Bondi branch
NHAD9393,2/11/2024 21:56,Withdraw,ATM Cash Withdraw,50,ATM Cash Withdraw at Hornsby branch
FZLH2672,9/11/2024 14:14,Withdraw,ATM Cash Withdraw,60,ATM Cash Withdraw at Bankstown branch
ZEPO3504,19/11/2024 20:05,Withdraw,ATM Cash Withdraw,80,ATM Cash Withdraw at Cronulla branch
XEXV5098,20/11/2024 22:21,Transfer,Groceries,265.15,Transfer to Alex for supermarket bill
RXWT2473,7/11/2024 20:25,Withdraw,ATM Cash Withdraw,2630,ATM Cash Withdraw at Castle Hill branch
RXWT2473,12/11/2024 19:48,Deposit,Income,1382.98,Investment income
SCRE4918,18/11/2024 09:16,Withdraw,ATM Cash Withdraw,150,ATM Cash Withdraw at Penrith branch
IOPL3764,15/11/2024 14:04,Payment,Groceries,206.58,Supermarket purchase
CQSK8862,2/11/2024 21:39,Payment,Entertainment,394.24,Concert ticket
QXMH1436,17/11/2024 13:08,Payment,Utilities,8145.89,Gas utility charge
FZLH2672,27/11/2024 20:14,Withdraw,ATM Cash Withdraw,4380,ATM Cash Withdraw at Manly branch
SCRE4918,6/11/2024 20:53,Transfer,Transportation,47.65,Transfer to Jamie for taxi fare
FRQA5486,25/11/2024 22:25,Transfer,Entertainment,335.99,Transfer to Chris for concert ticket
PHZB4600,6/11/2024 22:27,Payment,Transportation,9.34,Taxi fare
FZLH2672,26/11/2024 21:45,Payment,Utilities,1323.47,Gas utility charge
SCRE4918,28/11/2024 18:17,Withdraw,ATM Cash Withdraw,5910,ATM Cash Withdraw at Chatswood branch
OAJX8472,12/11/2024 21:23,Payment,Dining,91.15,Fast food meal
CQSK8862,8/11/2024 12:14,Withdraw,ATM Cash Withdraw,80,ATM Cash Withdraw at Parramatta branch
FZLH2672,11/11/2024 22:12,Withdraw,ATM Cash Withdraw,150,ATM Cash Withdraw at Bankstown branch
LVGF8990,12/11/2024 22:15,Withdraw,ATM Cash Withdraw,50,ATM Cash Withdraw at Parramatta branch
RXWT2473,14/11/2024 20:39,Withdraw,ATM Cash Withdraw,9910,ATM Cash Withdraw at Hornsby branch
SCRE4918,22/11/2024 20:54,Payment,Entertainment,337.57,Concert ticket
QXMH1436,26/11/2024 09:17,Payment,Groceries,61.72,Organic food shop
RXWT2473,27/11/2024 23:10,Transfer,Groceries,58.88,Transfer to Alex for supermarket bill
ZEPO3504,19/11/2024 18:39,Payment,Transportation,74.51,Public transport fare
FZLH2672,9/11/2024 14:58,Withdraw,ATM Cash Withdraw,30,ATM Cash Withdraw at Blacktown branch
NHAD9393,12/11/2024 21:46,Payment,Utilities,4142.33,Electricity bill payment
PHZB4600,25/11/2024 15:44,Deposit,Income,8268.99,Working income
PHZB4600,19/11/2024 16:36,Transfer,Dining,143.05,Transfer to Sarah for dinner outing
OAJX8472,4/11/2024 21:37,Transfer,Entertainment,31.34,Transfer to Chris for concert ticket
FRQA5486,12/11/2024 15:50,Payment,Dining,14.45,Italian restaurant outing
RXWT2473,24/11/2024 08:32,Payment,Entertainment,160.35,Gaming subscription
SCRE4918,4/11/2024 14:04,Deposit,Income,1129.03,Investment income
LVGF8990,16/11/2024 22:03,Payment,Groceries,56.37,Local market shopping
FRQA5486,15/11/2024 09:20,Deposit,Income,8598.58,Working income
FZLH2672,5/11/2024 20:27,Withdraw,ATM Cash Withdraw,4080,ATM Cash Withdraw at Chatswood branch
TKRR6271,28/11/2024 22:57,Deposit,Income,8429.98,Working income
LVGF8990,9/11/2024 10:34,Payment,Dining,72.16,Fast food meal
QXMH1436,26/11/2024 20:46,Transfer,Groceries,205.3,Transfer to Alex for supermarket bill
FRQA5486,11/11/2024 10:12,Transfer,Groceries,34.56,Transfer to Alex for supermarket bill
OAJX8472,6/11/2024 13:17,Transfer,Groceries,44.52,Transfer to Alex for supermarket bill
ZEPO3504,13/11/2024 08:58,Withdraw,ATM Cash Withdraw,380,ATM Cash Withdraw at Castle Hill branch
SCRE4918,7/11/2024 21:26,Transfer,Groceries,251.16,Transfer to Alex for supermarket bill
TKRR6271,17/11/2024 11:19,Transfer,Entertainment,139.71,Transfer to Chris for concert ticket
FRQA5486,6/11/2024 15:41,Transfer,Entertainment,161.19,Transfer to Chris for concert ticket
YRMX9241,16/11/2024 18:30,Transfer,Entertainment,98.85,Transfer to Chris for concert ticket
FRQA5486,8/11/2024 14:23,Withdraw,ATM Cash Withdraw,80,ATM Cash Withdraw at Cronulla branch
TKRR6271,10/11/2024 23:24,Withdraw,ATM Cash Withdraw,40,ATM Cash Withdraw at Newtown branch
OAJX8472,15/11/2024 17:50,Withdraw,ATM Cash Withdraw,50,ATM Cash Withdraw at Chatswood branch
QXMH1436,14/11/2024 16:46,Withdraw,ATM Cash Withdraw,1440,ATM Cash Withdraw at Bondi branch
XEXV5098,22/11/2024 18:50,Payment,Groceries,217.63,Local market shopping
XEXV5098,7/11/2024 18:55,Payment,Groceries,147.99,Organic food shop
SCRE4918,12/11/2024 22:29,Withdraw,ATM Cash Withdraw,120,ATM Cash Withdraw at Parramatta branch
RXWT2473,26/11/2024 14:14,Payment,Transportation,54.18,Public transport fare
LVGF8990,9/11/2024 20:57,Withdraw,ATM Cash Withdraw,40,ATM Cash Withdraw at Bondi branch
PHZB4600,27/11/2024 11:03,Payment,Groceries,8.67,Organic food shop
FRQA5486,23/11/2024 18:03,Payment,Entertainment,260.88,Gaming subscription
FRQA5486,3/11/2024 17:01,Withdraw,ATM Cash Withdraw,6160,ATM Cash Withdraw at Manly branch
RXWT2473,1/11/2024 17:24,Payment,Entertainment,98.98,Movie tickets
ZEPO3504,25/11/2024 12:11,Withdraw,ATM Cash Withdraw,240,ATM Cash Withdraw at Chatswood branch
YRMX9241,24/11/2024 23:18,Payment,Entertainment,153,Concert ticket
IOPL3764,3/11/2024 11:14,Deposit,Income,8645.19,Working income
ZEPO3504,28/11/2024 17:06,Transfer,Utilities,9726.03,Transfer to John for electricity bill
FZLH2672,18/11/2024 23:11,Payment,Utilities,8554.18,Gas utility charge
PHZB4600,9/11/2024 16:55,Payment,Dining,48.82,Fast food meal
NHAD9393,21/11/2024 19:17,Payment,Dining,25.94,Fast food meal
ZEPO3504,16/11/2024 21:29,Withdraw,ATM Cash Withdraw,40,ATM Cash Withdraw at Surry Hills branch
FRQA5486,26/11/2024 14:59,Transfer,Groceries,93.24,Transfer to Alex for supermarket bill
ZEPO3504,28/11/2024 21:54,Payment,Transportation,71.6,Taxi fare
CQSK8862,22/11/2024 10:04,Deposit,Income,81.83,Bank interest
CQSK8862,19/11/2024 10:19,Payment,Dining,98.79,Italian restaurant outing
NHAD9393,12/11/2024 21:13,Transfer,Entertainment,180.13,Transfer to Chris for concert ticket
FZLH2672,23/11/2024 22:16,Transfer,Groceries,149.48,Transfer to Alex for supermarket bill
PHZB4600,20/11/2024 21:28,Deposit,Income,8782.04,Working income
ZEPO3504,14/11/2024 23:56,Transfer,Dining,65.12,Transfer to Sarah for dinner outing
CQSK8862,27/11/2024 21:30,Transfer,Transportation,56.45,Transfer to Jamie for taxi fare
FZLH2672,9/11/2024 21:21,Payment,Dining,55.95,Japanese dinner
OAJX8472,1/11/2024 20:28,Transfer,Dining,139.32,Transfer to Sarah for dinner outing
LVGF8990,22/11/2024 20:17,Payment,Dining,50.45,Italian restaurant outing
NHAD9393,20/11/2024 12:23,Payment,Transportation,48.96,Public transport fare
TKRR6271,13/11/2024 18:00,Deposit,Income,1433.42,Investment income
TKRR6271,9/11/2024 20:13,Withdraw,ATM Cash Withdraw,5360,ATM Cash Withdraw at Liverpool branch
PHZB4600,18/11/2024 19:01,Payment,Utilities,5211.42,Electricity bill payment
FRQA5486,16/11/2024 20:17,Payment,Utilities,2724.33,Gas utility charge
SCRE4918,2/11/2024 23:33,Transfer,Groceries,145.79,Transfer to Alex for supermarket bill
OAJX8472,23/11/2024 22:50,Transfer,Transportation,28.57,Transfer to Jamie for taxi fare
OAJX8472,3/11/2024 22:45,Withdraw,ATM Cash Withdraw,8140,ATM Cash Withdraw at Strathfield branch
LVGF8990,9/11/2024 20:54,Payment,Entertainment,8.4,Movie tickets
NHAD9393,20/11/2024 23:12,Deposit,Income,114.77,Bank interest
LVGF8990,7/11/2024 20:40,Transfer,Transportation,52.12,Transfer to Jamie for taxi fare
TKRR6271,13/11/2024 20:04,Payment,Transportation,6.24,Gas station refill
OAJX8472,15/11/2024 21:14,Payment,Transportation,94.36,Gas station refill
PHZB4600,8/11/2024 09:06,Withdraw,ATM Cash Withdraw,200,ATM Cash Withdraw at Parramatta branch
TKRR6271,12/11/2024 08:33,Withdraw,ATM Cash Withdraw,6360,ATM Cash Withdraw at Penrith branch
OAJX8472,28/11/2024 16:02,Transfer,Utilities,3517.14,Transfer to John for electricity bill
LVGF8990,8/11/2024 09:14,Payment,Utilities,5979.16,Gas utility charge
QXMH1436,25/11/2024 22:44,Payment,Groceries,74.35,Local market shopping
TKRR6271,12/11/2024 19:45,Withdraw,ATM Cash Withdraw,370,ATM Cash Withdraw at Surry Hills branch
OAJX8472,6/11/2024 18:42,Withdraw,ATM Cash Withdraw,6420,ATM Cash Withdraw at Hornsby branch
SCRE4918,19/11/2024 23:02,Transfer,Entertainment,150.49,Transfer to Chris for concert ticket
PHZB4600,27/11/2024 21:43,Transfer,Dining,136.53,Transfer to Sarah for dinner outing
